iso3_country,country_name,emissions_2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,emissions_2025,change_2015_2025,percent_change_2015_2025
GGY,GGY,768712.4612780976,790694.3215949587,805954.404276019,823013.8064329779,830867.4965545662,762310.6565569428,816947.3032262283,834785.4505027763,878950.50759495,845697.4193379511,861339.1433433319,92626.68206523429,12.049587684740898
GHA,GHA,40529390.48245432,41712152.249187775,44889882.0848625,48481264.875857614,52183529.26061846,55807791.08315157,56320811.86504121,57097024.60915573,58103659.85199719,58850842.63217025,58990340.26340093,18460949.780946605,45.54953716596992
GIB,GIB,971840.6087950215,1113469.0959621498,1177028.4441091036,1248195.5711929512,1293187.909012386,1319888.374396422,824461.9780823181,819264.3560383143,805664.4772025583,739489.6111206313,783319.0115363384,-188521.5972586833,-19.39840705899601
GIN,GIN,38876490.2940385,41801656.91271757,43857380.20794013,45652722.73065139,47946712.45849203,50221316.34525387,44475494.229502015,46429545.779572,46215210.3156343,48379095.02849157,48986318.862128966,10109828.56809046,26.004992970367876
GLP,GLP,3081393.9610144994,3171357.3834319315,3210011.5566003155,3332996.3197791227,3324734.51983906,3080404.602333931,2944100.316780545,3119132.7241159184,3082988.70290504,3114399.7290769084,2760068.983136106,-321324.9778783936,-10.427909639071355
GMB,GMB,3620269.187172357,3561604.3988085664,3467121.957601519,3367987.784062784,3686684.569235608,3738253.284504141,3492406.075049,3606130.0621571606,3671837.325385127,3580360.1365367463,3635333.900060462,15064.71288810484,0.4161213464867033
GNB,GNB,3941767.958180697,4117732.6442891513,3875226.817357545,3940703.429634617,4135404.7890757145,4216819.381816243,3839985.350991224,4001217.5481678303,4028921.349512655,4115438.816273985,4110785.786887536,169017.82870683912,4.287868552892912
GNQ,GNQ,21578942.587922346,19916407.760084476,18185332.27916817,15855101.437198449,14860314.989146613,13676487.366653528,13142107.027263043,13092799.86744875,11630477.010456286,11660750.984778425,11210839.441264456,-10368103.146657886,-48.04731790917724
GRC,GRC,113244549.66619998,113986977.53244972,114745336.11612424,112072291.47737826,105379282.79848576,91333021.87981516,94035863.18017332,97271294.66493498,93782498.2916203,94568062.98463435,92032100.0838043,-21212449.582395688,-18.73154129264638
GRD,GRD,440825.9403196168,504137.37868464616,535608.3103427672,560226.5289353915,619105.266688349,515793.9483970395,532565.8173860648,651173.6366802398,664918.2425038352,680179.2136499967,699879.5799005927,259053.63958097587,58.765516247331405
