iso3_country,country_name,year,sector,sector_clean,gas,emissions
AFG,AFG,2016,manufacturing,Manufacturing,co2e_100yr,3281190.833780259
AFG,AFG,2016,mineral-extraction,Mineral Extraction,co2e_100yr,74546.40083726084
AFG,AFG,2016,power,Power,co2e_100yr,2352941.242856072
AFG,AFG,2016,transportation,Transportation,co2e_100yr,8127209.558752482
AFG,AFG,2016,waste,Waste,co2e_100yr,3974537.719035201
AFG,AFG,2017,agriculture,Agriculture,co2e_100yr,18173343.515815705
AFG,AFG,2017,buildings,Buildings,co2e_100yr,1126393.173039883
AFG,AFG,2017,fluorinated-gases,Fluorinated Gases,co2e_100yr,598320.2161909996
AFG,AFG,2017,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1491910.1444899703
AFG,AFG,2017,manufacturing,Manufacturing,co2e_100yr,3724798.116962652
AFG,AFG,2017,mineral-extraction,Mineral Extraction,co2e_100yr,75712.7370948569
AFG,AFG,2017,power,Power,co2e_100yr,3062361.9409691505
AFG,AFG,2017,transportation,Transportation,co2e_100yr,7852336.989687432
AFG,AFG,2017,waste,Waste,co2e_100yr,4155038.8881980353
AFG,AFG,2018,agriculture,Agriculture,co2e_100yr,18832466.98955632
AFG,AFG,2018,buildings,Buildings,co2e_100yr,1327451.4327181904
AFG,AFG,2018,fluorinated-gases,Fluorinated Gases,co2e_100yr,678256.0875429999
AFG,AFG,2018,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1546900.6293754843
AFG,AFG,2018,manufacturing,Manufacturing,co2e_100yr,4148774.5968344486
AFG,AFG,2018,mineral-extraction,Mineral Extraction,co2e_100yr,80373.19282800984
AFG,AFG,2018,power,Power,co2e_100yr,3293059.906373391
AFG,AFG,2018,transportation,Transportation,co2e_100yr,10337151.736901265
AFG,AFG,2018,waste,Waste,co2e_100yr,4349527.868675864
AFG,AFG,2019,agriculture,Agriculture,co2e_100yr,18907332.888059966
AFG,AFG,2019,buildings,Buildings,co2e_100yr,1215283.1788544073
AFG,AFG,2019,fluorinated-gases,Fluorinated Gases,co2e_100yr,748712.7712569996
AFG,AFG,2019,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1411360.5532152995
AFG,AFG,2019,manufacturing,Manufacturing,co2e_100yr,4237197.020829281
AFG,AFG,2019,mineral-extraction,Mineral Extraction,co2e_100yr,79209.27879026467
AFG,AFG,2019,power,Power,co2e_100yr,3290345.434876751
AFG,AFG,2019,transportation,Transportation,co2e_100yr,9320701.15297794
AFG,AFG,2019,waste,Waste,co2e_100yr,4576010.856887605
AFG,AFG,2020,agriculture,Agriculture,co2e_100yr,18879001.191407576
AFG,AFG,2020,buildings,Buildings,co2e_100yr,1206058.6254284317
AFG,AFG,2020,fluorinated-gases,Fluorinated Gases,co2e_100yr,820607.0781049997
AFG,AFG,2020,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1389066.419378867
AFG,AFG,2020,manufacturing,Manufacturing,co2e_100yr,4140823.713017442
AFG,AFG,2020,mineral-extraction,Mineral Extraction,co2e_100yr,78045.14970087139
AFG,AFG,2020,power,Power,co2e_100yr,3109432.306187387
AFG,AFG,2020,transportation,Transportation,co2e_100yr,9871338.100639706
AFG,AFG,2020,waste,Waste,co2e_100yr,4835743.978388335
AFG,AFG,2021,agriculture,Agriculture,co2e_100yr,17605242.93851773
AFG,AFG,2021,buildings,Buildings,co2e_100yr,1235290.4762501162
AFG,AFG,2021,fluorinated-gases,Fluorinated Gases,co2e_100yr,894702.703109
AFG,AFG,2021,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1196402.6889053453
AFG,AFG,2021,manufacturing,Manufacturing,co2e_100yr,4478116.222582758
AFG,AFG,2021,mineral-extraction,Mineral Extraction,co2e_100yr,75715.16867503886
AFG,AFG,2021,power,Power,co2e_100yr,3040935.380476485
AFG,AFG,2021,transportation,Transportation,co2e_100yr,10510194.55665371
AFG,AFG,2021,waste,Waste,co2e_100yr,5016241.462600228
AFG,AFG,2022,agriculture,Agriculture,co2e_100yr,17833145.90380948
AFG,AFG,2022,buildings,Buildings,co2e_100yr,1265772.690196574
AFG,AFG,2022,fluorinated-gases,Fluorinated Gases,co2e_100yr,966851.5760309994
AFG,AFG,2022,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1193884.6652857023
AFG,AFG,2022,manufacturing,Manufacturing,co2e_100yr,4352775.332981885
AFG,AFG,2022,mineral-extraction,Mineral Extraction,co2e_100yr,73385.20162038886
AFG,AFG,2022,power,Power,co2e_100yr,2754551.6052539656
AFG,AFG,2022,transportation,Transportation,co2e_100yr,10753756.94570432
AFG,AFG,2022,waste,Waste,co2e_100yr,5186724.413523247
AFG,AFG,2023,agriculture,Agriculture,co2e_100yr,18108530.677743305
AFG,AFG,2023,buildings,Buildings,co2e_100yr,1288901.7168680257
AFG,AFG,2023,fluorinated-gases,Fluorinated Gases,co2e_100yr,1039564.5054349994
AFG,AFG,2023,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1321195.2555143824
AFG,AFG,2023,manufacturing,Manufacturing,co2e_100yr,4651479.555334027
AFG,AFG,2023,mineral-extraction,Mineral Extraction,co2e_100yr,77311.29697264459
AFG,AFG,2023,power,Power,co2e_100yr,2831268.810021998
AFG,AFG,2023,transportation,Transportation,co2e_100yr,11181925.15144787
AFG,AFG,2023,waste,Waste,co2e_100yr,5298135.187907191
AFG,AFG,2024,agriculture,Agriculture,co2e_100yr,18075082.187823303
AFG,AFG,2024,buildings,Buildings,co2e_100yr,1314129.7672218026
AFG,AFG,2024,fluorinated-gases,Fluorinated Gases,co2e_100yr,1111995.4041889997
AFG,AFG,2024,fossil-fuel-operations,Fossil Fuel Operations,co2e_100yr,1486958.3167002536
AFG,AFG,2024,manufacturing,Manufacturing,co2e_100yr,4651479.555242027
AFG,AFG,2024,mineral-extraction,Mineral Extraction,co2e_100yr,77083.29697264459
AFG,AFG,2024,power,Power,co2e_100yr,2922106.5753303845
AFG,AFG,2024,transportation,Transportation,co2e_100yr,12068667.79373436
AFG,AFG,2024,waste,Waste,co2e_100yr,5422508.995491298
AFG,AFG,2025,agriculture,Agriculture,co2e_100yr,18076240.94143744
