OBJECTID,Shape,Country Name,iso3_country,Continent,LAND_TYPE,Land Rank,Affiliated Country,ORIG_FID,centroid_lon,centroid_lat
1,Point,Afghanistan,AFG,Asia,Primary land,5,Afghanistan,1,66.065186,33.910354
2,Point,Albania,ALB,Europe,Primary land,5,Albania,2,20.064043,41.150428
3,Point,Albania,ALB,Europe,Very small island,1,Albania,3,19.460906,41.857113
4,Point,Albania,ALB,Europe,Small island,2,Albania,4,19.278931,40.494241
5,Point,Algeria,DZA,Africa,Small island,2,Algeria,5,-1.131075,35.724049
6,Point,Algeria,DZA,Africa,Very small island,1,Algeria,6,-1.479637,35.321533
7,Point,Algeria,DZA,Africa,Primary land,5,Algeria,7,2.673574,28.420827
8,Point,American Samoa,ASM,Oceania,Very small island,1,United States,8,-168.155266,-14.558524
9,Point,American Samoa,ASM,Oceania,Small island,2,United States,9,-169.467102,-14.23568
10,Point,American Samoa,ASM,Oceania,Primary land,5,United States,10,-170.718087,-14.300667
11,Point,Andorra,AND,Europe,Primary land,5,Andorra,11,1.575995,42.545321
12,Point,Angola,AGO,Africa,Very small island,1,Angola,12,12.80843,-6.003717
13,Point,Angola,AGO,Africa,Primary land,5,Angola,13,17.580573,-12.395574
14,Point,Angola,AGO,Africa,Small island,2,Angola,14,11.704605,-16.592971
15,Point,Anguilla,AIA,North America,Primary land,5,United Kingdom,15,-63.184773,18.266723
16,Point,Anguilla,AIA,North America,Very small island,1,United Kingdom,16,-63.42564,18.588175
17,Point,Anguilla,AIA,North America,Small island,2,United Kingdom,17,-63.054341,18.21465
18,Point,Antarctica,ATA,Antarctica,Small island,2, ,18,-149.211079,-77.348819
19,Point,Antarctica,ATA,Antarctica,Primary land,5, ,19,9.126129,-85.893766
20,Point,Antarctica,ATA,Antarctica,Large island,4, ,20,-70.01322,-71.048846
21,Point,Antarctica,ATA,Antarctica,Medium island,3, ,21,167.484626,-77.546126
22,Point,Antigua and Barbuda,ATG,North America,Small island,2,Antigua and Barbuda,22,-61.754722,17.155226
23,Point,Antigua and Barbuda,ATG,North America,Very small island,1,Antigua and Barbuda,23,-61.850448,17.632352
24,Point,Antigua and Barbuda,ATG,North America,Primary land,5,Antigua and Barbuda,24,-61.798213,17.077124
25,Point,Argentina,ARG,South America,Primary land,5,Argentina,25,-65.388993,-36.330264
26,Point,Argentina,ARG,South America,Very small island,1,Argentina,26,-64.253512,-54.693656
27,Point,Argentina,ARG,South America,Small island,2,Argentina,27,-58.580095,-33.97583
28,Point,Argentina,ARG,South America,Medium island,3,Argentina,28,-58.787952,-34.084317
29,Point,Armenia,ARM,Asia,Primary land,5,Armenia,29,44.934642,40.302028
30,Point,Aruba,ABW,South America,Small island,2,Netherlands,30,-69.970177,12.509189
31,Point,Australia,AUS,Australia,Medium island,3,Australia,31,137.333378,-35.786832
32,Point,Australia,AUS,Australia,Primary land,5,Australia,32,134.439731,-26.0228
33,Point,Australia,AUS,Australia,Very small island,1,Australia,33,147.680056,-39.687222
34,Point,Australia,AUS,Australia,Small island,2,Australia,34,147.262317,-43.394494
35,Point,Austria,AUT,Europe,Primary land,5,Austria,35,14.149325,47.597077
36,Point,Azerbaijan,AZE,Asia,Very small island,1,Azerbaijan,36,48.947372,38.979864
37,Point,Azerbaijan,AZE,Asia,Primary land,5,Azerbaijan,37,47.64852,40.372487
38,Point,Azerbaijan,AZE,Asia,Small island,2,Azerbaijan,38,49.146248,38.990144
39,Point,Azores,PRT,Europe,Small island,2,Portugal,39,-28.332327,38.4693
40,Point,Azores,PRT,Europe,Medium island,3,Portugal,40,-25.493567,37.778081
41,Point,Azores,PRT,Europe,Very small island,1,Portugal,41,-27.145444,38.632284
42,Point,Bahamas,BHS,North America,Very small island,1,Bahamas,42,-78.534849,26.731668
43,Point,Bahamas,BHS,North America,Medium island,3,Bahamas,43,-73.349635,21.078324
44,Point,Bahamas,BHS,North America,Primary land,5,Bahamas,44,-78.059549,24.690036
45,Point,Bahamas,BHS,North America,Small island,2,Bahamas,45,-74.956771,23.072586
46,Point,Bahrain,BHR,Asia,Small island,2,Bahrain,46,50.784669,25.687888
47,Point,Bahrain,BHR,Asia,Primary land,5,Bahrain,47,50.545714,26.056253
48,Point,Bahrain,BHR,Asia,Very small island,1,Bahrain,48,50.775546,25.662535
49,Point,Bangladesh,BGD,Asia,Primary land,5,Bangladesh,49,90.294903,24.056008
50,Point,Bangladesh,BGD,Asia,Very small island,1,Bangladesh,50,90.63643,22.347195
51,Point,Bangladesh,BGD,Asia,Medium island,3,Bangladesh,51,90.010096,22.279036
52,Point,Bangladesh,BGD,Asia,Small island,2,Bangladesh,52,91.109175,22.24428
53,Point,Barbados,BRB,North America,Primary land,5,Barbados,53,-59.53535,13.13825
54,Point,Belarus,BLR,Europe,Primary land,5,Belarus,54,28.058526,53.588796
55,Point,Belgium,BEL,Europe,Primary land,5,Belgium,55,4.657523,50.646638
56,Point,Belize,BLZ,North America,Very small island,1,Belize,56,-88.026484,17.005959
57,Point,Belize,BLZ,North America,Small island,2,Belize,57,-87.805814,17.478931
58,Point,Belize,BLZ,North America,Primary land,5,Belize,58,-88.705737,17.204345
59,Point,Benin,BEN,Africa,Very small island,1,Benin,59,1.922361,6.300935
60,Point,Benin,BEN,Africa,Primary land,5,Benin,60,2.336506,9.674147
61,Point,Benin,BEN,Africa,Small island,2,Benin,61,1.941506,6.305721
62,Point,Bermuda,BMU,North America,Small island,2,United Kingdom,62,-64.7271,32.327942
63,Point,Bermuda,BMU,North America,Very small island,1,United Kingdom,63,-64.664498,32.372073
64,Point,Bhutan,BTN,Asia,Primary land,5,Bhutan,64,90.420049,27.423131
