iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
GEO,GEO,0.10440520777426802,0.15376208264466878,0.02414223958790859,0.01886593705130954,0.1726576165610285,0.005604019136666338,0.06499837744100471,0.37857863891031523,0.07698588089283032,23110883.919047967,4561614.471221,24.591882090296497,2,-0.5002958042611905,0.4975883992379191
GHA,GHA,0.17341059216537766,0.036693660643808045,0.04596461557556502,0.0963355182054957,0.11650735566800634,0.00045376920832252825,0.1274613201144962,0.3309177326492763,0.07225543576965221,58990340.26340093,18460949.780946605,45.54953716596992,2,-0.5204389201107471,-0.6733669719597696
GIN,GIN,0.5506503721283224,0.035052274471763505,0.021784405554833342,0.0012943223878170871,0.0954950631982704,0.06255239873330888,0.017623071407268036,0.16201131469829946,0.053536777420116984,48986318.862128966,10109828.56809046,26.004992970367876,4,-1.367489485721157,-2.0340505311498056
GLP,GLP,0.0,0.029467235111041365,0.0,5.4870166407189326e-05,0.07502482457679051,0.0,0.27863754852916406,0.5789446401202714,0.03787088149632547,2760068.983136106,-321324.9778783936,-10.427909639071355,1,-0.7960160561020225,2.8911489389064626
GMB,GMB,0.1849931283671558,0.04446832412492852,0.0,0.0,0.02012505771798862,0.006659468396513111,0.11819662282709535,0.5277629985853446,0.0977943999809739,3635333.900060462,15064.71288810484,0.4161213464867033,1,-2.2612120288848274,1.2507336730796117
GNB,GNB,0.5304958593329168,0.08247413750594287,0.0,0.0,0.010900156043048084,0.003476523384783507,0.016391255132195946,0.26845161454809086,0.08781045405302192,4110785.786887536,169017.82870683912,4.287868552892912,2,-2.1412173861551342,-0.46084144058218074
GNQ,GNQ,0.002358345325458655,0.015524260708381914,0.026576837775886895,0.6444384603532692,0.07884052959390404,0.0027611511020072914,0.06789211732343907,0.1328011312518201,0.028807166565832744,11210839.441264456,-10368103.146657886,-48.04731790917724,0,2.5062589201331944,0.5482118326541555
GRC,GRC,0.08025868408581974,0.08181102095817908,0.05232657086803199,0.07445395727858574,0.08946735392253717,0.0017177719581813653,0.17701410384770794,0.39388417459467967,0.04906636248627732,92032100.0838043,-21212449.582395688,-18.73154129264638,0,0.8876855750201706,1.6798565218503474
GRL,GRL,0.0,0.15273673006853625,0.0,0.007686639538832525,0.000633561979655004,0.0,0.06957768837515746,0.723823378877611,0.04554200116020784,1250576.9154956385,374096.2775943365,42.68163624128597,1,-2.706702797819328,1.8473377436068998
GTM,GTM,0.2747340249917345,0.10082116094281916,0.009319972155889516,0.006600195882017782,0.1442932950163757,0.000691914611067475,0.07386815707504851,0.21005516677463157,0.1796161125504158,46153093.877773054,8571542.12256372,22.8078451320882,2,-1.177782705644523,-0.46860170743458146
GUF,GUF,0.04652258754308429,0.08244870197306219,0.0,4.261211711617189e-05,0.07454181176269457,2.463597157548813e-05,0.23397215993438072,0.5002524986967228,0.06219499200136375,1014776.2966602084,54743.1588255018,5.702215545285394,1,-1.6134220423105208,1.9475087343514403
