iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025,archetype
FLK,FLK,6917418.064229475,6861132.9530193275,6863624.457292533,6881297.328925198,6857562.77540318,6855265.0153910415,6903207.34857385,6914114.049022257,6897569.048090852,6994127.962731079,6963361.528737822,45943.46450834628,0.6641707076506425,"Lower-emitting, stable/moderate growth"
FRA,FRA,510385809.9544486,512051489.4026301,520982506.24998,512227688.72274387,501613169.0951829,444337143.1356689,474772584.5706637,469586291.51161087,444392565.0929745,438399792.1588027,439095771.359798,-71290038.59465057,-13.967872382857419,"High-emitting, declining"
FRO,FRO,1229570.347264685,1221714.167466384,1374919.5256660406,1471987.8749835545,1567864.6136708497,1619610.3734709949,1715327.8123549572,1720378.896056994,1736567.5394338407,1615464.7845148009,1623242.452774199,393672.105509514,32.01704614829733,"Lower-emitting, fast-growing"
FSM,FSM,418755.42341785185,442657.20040175214,547636.7966672297,598697.0887257215,505379.5342719772,396519.8592606764,351379.7921821473,360642.0818064911,399856.16160511045,457426.4540685837,425482.801992701,6727.378574849165,1.6065173604059335,"Lower-emitting, stable/moderate growth"
GAB,GAB,30826033.332690224,30929991.286017668,24243084.643895097,22873368.716712218,24803561.156002615,24146040.97893755,23589640.50735359,24402710.55529772,26919881.95915322,27346472.39746056,26901531.20744589,-3924502.1252443343,-12.731129181912937,"Lower-emitting, declining"
GBR,GBR,578664889.2452499,558847258.2451088,549434774.0504755,538851133.2946599,527074876.5770713,471172285.0473595,486767537.9679916,484332965.0810074,461561820.95981914,451652180.5805312,451166691.01038885,-127498198.23486102,-22.033166449956273,"High-emitting, declining"
GEO,GEO,18549269.447826967,19480082.63166064,19234219.68221377,18895065.002199393,20106851.05411525,19276404.923344254,20699376.715214774,21824381.411848113,22269540.931712877,22820795.563515462,23110883.919047967,4561614.471221,24.591882090296497,"Lower-emitting, stable/moderate growth"
GGY,GGY,768712.4612780976,790694.3215949587,805954.404276019,823013.8064329779,830867.4965545662,762310.6565569428,816947.3032262283,834785.4505027763,878950.50759495,845697.4193379511,861339.1433433319,92626.68206523429,12.049587684740898,"Lower-emitting, stable/moderate growth"
GHA,GHA,40529390.48245432,41712152.249187775,44889882.0848625,48481264.875857614,52183529.26061846,55807791.08315157,56320811.86504121,57097024.60915573,58103659.85199719,58850842.63217025,58990340.26340093,18460949.780946605,45.549537165969916,"Lower-emitting, fast-growing"
GIB,GIB,971840.6087950217,1113469.0959621498,1177028.4441091036,1248195.5711929512,1293187.909012386,1319888.374396422,824461.9780823181,819264.3560383143,805664.4772025583,739489.6111206313,783319.0115363384,-188521.5972586833,-19.39840705899601,"Lower-emitting, declining"
GIN,GIN,38876490.294038504,41801656.91271757,43857380.20794013,45652722.73065139,47946712.45849203,50221316.34525387,44475494.229502015,46429545.779572,46215210.3156343,48379095.02849157,48986318.862128966,10109828.568090461,26.004992970367873,"Lower-emitting, fast-growing"
GLP,GLP,3081393.9610144994,3171357.3834319315,3210011.5566003155,3332996.3197791227,3324734.5198390596,3080404.602333931,2944100.316780545,3119132.7241159184,3082988.7029050393,3114399.7290769084,2760068.983136106,-321324.9778783936,-10.427909639071355,"Lower-emitting, declining"
GMB,GMB,3620269.187172357,3561604.3988085664,3467121.957601519,3367987.7840627837,3686684.5692356075,3738253.284504141,3492406.075049,3606130.0621571606,3671837.325385127,3580360.1365367463,3635333.900060462,15064.712888104841,0.41612134648670335,"Lower-emitting, stable/moderate growth"
