iso3_country,country_name,cluster,PC1,PC2,emissions_2025,change_2015_2025,percent_change_2015_2025
CYM,CYM,1,-1.117678004275242,2.0571517772631647,1086844.0762135729,49629.3751805356,4.784870011108222
CYP,CYP,1,-1.45366722478737,0.5898273887441129,11600326.677495142,3153282.871556986,37.33001679641191
CZE,CZE,0,2.1395074216294576,1.625035063267106,99796129.06745017,-34838882.80909242,-25.876540079365785
DEU,DEU,0,2.6038183172413927,1.3589257709961038,756559138.9733564,-270017906.5705893,-26.30274149832725
DJI,DJI,2,-2.2087835387256005,0.3624348804275178,3442403.099133187,316152.159238304,10.1128209256591
DNK,DNK,0,-0.0152627114681791,0.7880394819871964,56728505.14591755,-5021147.1027404815,-8.131458105255327
DOM,DOM,2,-0.4966145742151151,-0.4918138783898815,52230744.93026552,13572649.804832635,35.10946351803892
DZA,DZA,3,1.464534513214904,-1.05756757973896,327124075.2804716,25452052.227405906,8.436994577693655
ECU,ECU,0,1.1512841765081432,0.4089003168849275,88274087.28838374,-5121433.072814733,-5.483596057935185
EGY,EGY,3,1.772461407399453,-0.1267671882558131,385496467.5678741,9724766.614540458,2.587945443967362
ERI,ERI,4,-1.736794979413947,-0.7208258541406597,10429076.341368493,-129883.74671538174,-1.2300808567498964
ESH,ESH,1,-3.580381180786845,2.0883669721399936,1227513.201159672,199671.57912332783,19.42629825865016
ESP,ESP,0,1.042011374941456,1.22161473516621,330696959.1526993,-36682806.55179113,-9.984982836887566
EST,EST,0,0.67883349404371,0.4438573134289429,20182675.301159665,-9987943.10129232,-33.10486702016222
ETH,ETH,2,-0.9509499931150448,-2.678034674896061,263815399.1898264,65653917.97537452,33.131523630630994
FIN,FIN,0,1.315794511203238,0.920268533909041,74452429.82507439,-14573463.27575697,-16.369915277627108
FJI,FJI,0,-0.6872044608477283,3.10292153727094,3976692.625721667,-4835303.17712683,-54.87182796391945
FLK,FLK,2,-1.5406655562829932,-2.3153179765986684,6963361.528737822,45943.46450834628,0.6641707076506425
FRA,FRA,0,1.2587403676788809,1.2233626274381637,439095771.359798,-71290038.59465057,-13.96787238285742
FRO,FRO,1,-2.635867469550165,1.0360423376286747,1623242.452774199,393672.105509514,32.01704614829733
GAB,GAB,3,2.5465836497004606,-0.4349468945398433,26901531.20744589,-3924502.1252443343,-12.731129181912936
GBR,GBR,0,1.5821232059124315,1.2531422427799002,451166691.01038885,-127498198.23486102,-22.03316644995628
GEO,GEO,2,-0.5002958042611905,0.4975883992379191,23110883.919047967,4561614.471221,24.591882090296497
GHA,GHA,2,-0.5204389201107471,-0.6733669719597696,58990340.26340093,18460949.780946605,45.54953716596992
GIN,GIN,4,-1.367489485721157,-2.0340505311498056,48986318.862128966,10109828.56809046,26.00499297036788
GLP,GLP,1,-0.7960160561020225,2.891148938906462,2760068.983136106,-321324.9778783936,-10.427909639071355
GMB,GMB,1,-2.2612120288848274,1.2507336730796117,3635333.900060462,15064.71288810484,0.4161213464867033
GNB,GNB,2,-2.1412173861551342,-0.4608414405821807,4110785.786887536,169017.82870683912,4.287868552892912
GNQ,GNQ,0,2.5062589201331944,0.5482118326541555,11210839.441264456,-10368103.146657886,-48.04731790917724
GRC,GRC,0,0.8876855750201706,1.6798565218503474,92032100.0838043,-21212449.582395688,-18.73154129264638
GRL,GRL,1,-2.706702797819328,1.8473377436069,1250576.9154956385,374096.2775943365,42.68163624128597
GTM,GTM,2,-1.177782705644523,-0.4686017074345814,46153093.877773054,8571542.12256372,22.8078451320882
GUF,GUF,1,-1.6134220423105208,1.9475087343514403,1014776.2966602084,54743.1588255018,5.702215545285394
GUM,GUM,1,-0.6759383645617295,1.7841184789394309,2484719.6533264657,81399.04054342816,3.386940556764431
GUY,GUY,3,-0.748913422497727,-4.4654512163824185,23987758.7121603,15129919.132852346,170.80823148113973
HKG,HKG,1,-0.0442337305212627,2.245204545626673,62428791.48190457,-10734105.00394091,-14.671514551118944
HND,HND,2,-1.2389320068706084,-0.2498643316478574,26492844.98984484,3173422.1733696386,13.608493650741702
HRV,HRV,0,0.1716732810283296,0.5761221497843406,30596483.004759084,3550052.8864982016,13.125772499274571
HTI,HTI,2,-1.573006955048606,-0.2992748151371472,11592131.680394469,752807.8919726331,6.945155497400628
HUN,HUN,0,1.5340677487045613,1.2002625435504344,72543487.1439647,-12317769.889011726,-14.515186693764315
IDN,IDN,3,1.166599193484404,-2.1071921994779745,1635942658.8070278,434709009.2616732,36.188547450881245
IND,IND,3,1.7647664317659604,-1.6128748960720063,4334488769.409461,1111563692.4033256,34.48928119160275
IRL,IRL,0,0.5717417130702764,0.240291720038768,71923560.20746596,-3705640.050596744,-4.899747766672558
IRN,IRN,3,2.559322668152932,-1.4167948210060692,1239690071.290264,288921255.7289587,30.38817123575812
IRQ,IRQ,3,1.8211484015026405,-2.0922572704689086,516126545.8826731,162717654.77084452,46.04232062722951
ISL,ISL,1,-0.2934526825092614,0.7583439791837966,9836851.4799131,1613267.2499886935,19.617568263218523
ISR,ISR,3,1.0560584134831843,-0.0915774825285743,93951283.5506936,9651875.065422503,11.449516952552395
ITA,ITA,0,1.782882235540196,1.4135151155925283,377644987.1676097,-70586096.07552326,-15.747702181830933
JAM,JAM,4,-1.573567160520617,0.3707755735729365,11230799.380855726,683455.1734106652,6.479879294431619
JEY,JEY,1,-0.7129864582339454,1.8325263602996356,1070884.1204534462,96566.44517114408,9.911186835768389
JOR,JOR,2,0.1826860754568767,0.737130210341173,38921969.0898326,953999.64484445,2.512643311691192
JPN,JPN,0,2.55370203443094,1.5122528411104763,1288640112.983194,-283975411.4927571,-18.057523092771664
KAZ,KAZ,3,1.3670700290097637,-1.1664467531973206,398779125.6152464,84925528.5009005,27.058962931038096
KEN,KEN,2,-1.2042580069304112,-2.023593038007509,116662518.23243476,30006920.14372763,34.627791862921896
KGZ,KGZ,2,-0.5028114255242184,0.3041894045745743,25037182.69744239,1289837.8811749108,5.431503568733049
KHM,KHM,2,-0.5602527326750171,-1.8634641971778385,50095207.43147132,18258751.263027143,57.35170763486218
KOR,KOR,0,2.9497859790994783,1.059106179511106,714434190.2232554,-36547729.32505703,-4.8666590198388695
KWT,KWT,3,2.133110091665254,-1.4098417111811008,220693091.15700692,45243551.78230712,25.787216052863187
LAO,LAO,3,-0.328264766172335,-2.3493121356052264,41324280.14718853,22658858.369951826,121.39483715061448
LBN,LBN,0,0.7421781675055772,2.1983540032171573,21361245.54586787,-16665865.769142706,-43.82627339501365
LBR,LBR,2,-1.5634081168829448,1.093317223095742,5830541.458344038,11700.679105594754,0.2010826477215641
LBY,LBY,3,1.5331044118735182,-1.675560416148219,143259229.22954473,38925508.8907001,37.30865607426029
LCA,LCA,1,-1.3926245470935583,1.7501514581085376,1036301.6033204888,141638.24592922465,15.831457135142491
LKA,LKA,2,-1.6380121984916285,0.0915792351298035,43965575.6451211,7485343.532076947,20.51890324842651
LSO,LSO,2,-1.0153650440711892,0.3677679126612358,5137468.995548119,514792.5110286297,11.136243532347052
LTU,LTU,0,0.5555275837681978,0.0586455200850552,32301866.04783104,-2302833.509489708,-6.654684302850811
LUX,LUX,0,0.2883124272374403,2.333966667548954,6249361.417842818,-509723.2237773658,-7.541305528838338
LVA,LVA,2,-1.0429455317464982,-0.282976006755758,20086010.805062965,449262.1043305919,2.287864000183677
MAC,MAC,1,-1.2914303246593843,1.9273295929280987,2420401.7243549954,150315.96588236187,6.621598559496622
MAR,MAR,2,-1.0412545841476597,0.0458770463653447,120129795.09817377,25258441.25262402,26.62388616667649
MDA,MDA,1,-0.5576504808728727,1.0906938003326725,16525973.774289448,1509078.6508328505,10.049205501046943
MDG,MDG,2,-0.7940084710755813,-0.5903818622068416,41989653.92019776,-1883646.7864655848,-4.293378332894617
MDV,MDV,1,-1.8101468882319012,1.2775932501659657,2786304.426540737,934368.6271414728,50.45361871856279
MEX,MEX,0,1.371158353474203,0.4727659006509561,805612945.2265966,-18147286.25351751,-2.202981591003837
MKD,MKD,0,0.0443436310738372,1.5418882413736767,10778747.85561598,-639626.9000062961,-5.601733291258033
MLI,MLI,2,-1.741163739032857,-2.4346668098839563,74654624.20610838,24962104.0019105,50.23312140204508
MLT,MLT,1,-1.8053044153511784,1.6724621390682322,4453500.713423552,726379.54443298,19.48902414218285
MMR,MMR,2,-0.2420129765505635,-1.224671028225898,120106407.4990626,826813.7899908423,0.6931728758294382
MNE,MNE,1,-1.4234061514564094,2.4025148664065634,3663622.515858805,-366880.4519520113,-9.102597241139954
MNG,MNG,3,0.1318818633026511,-2.9898554168868223,138467703.01024234,56020679.53563784,67.94748576083337
MOZ,MOZ,3,-0.7836968629455296,-1.39471143997078,47245415.448247895,17773351.700331964,60.30575887848634
MRT,MRT,4,-2.0492210980599137,-1.8091379565908148,23575519.94940885,6330474.971317112,36.70895019038457
MTQ,MTQ,1,-0.5250544742909983,1.6099657557575804,3425294.432024255,254838.8985488182,8.037926911703604
MUS,MUS,1,-0.4832895661104721,0.8542412125565181,8965184.679373134,1817859.347496132,25.434120640745096
MWI,MWI,2,-2.332294346935575,-1.426203128073923,22278833.58161008,7088785.985472862,46.66730594889986
MYS,MYS,3,1.7025296749075125,-0.8713135804785508,436127757.5299812,41226568.5780012,10.439717511970912
NAM,NAM,2,-1.3468685406730865,-0.227602098413065,18993250.85352949,1717696.6674114913,9.942932359251138
NCL,NCL,1,0.5101390477527958,1.03128275206743,6166824.88357416,1107832.7666006647,21.89829003456557
NER,NER,2,-1.508972145421079,-2.9230460013373647,68221580.30297545,22906538.95565126,50.5495267676808
NGA,NGA,3,0.889938753621686,-1.1242155833031742,440745645.6404249,6178467.361275852,1.4217519569108013
NIC,NIC,2,-1.300908604599302,-1.2209909788745557,22340625.773135167,2275085.135693338,11.33826980693499
NLD,NLD,0,1.9509533991421764,1.3230557925240631,205362867.80071983,-37575801.10633138,-15.46719642261148
NOR,NOR,3,1.250739355023649,-0.5944865640022097,115127816.77148116,263787.2290495187,0.2296517283089687
NPL,NPL,2,0.3028501066416236,-1.1129780794747026,48177734.46339617,10821876.61586149,28.969691072362
NZL,NZL,0,0.1371923840933006,0.1678698513324947,86206676.806294,-3762329.9859306216,-4.181806735534368
