iso3_country,country_name,year,sector,sector_clean,emissions
AGO,AGO,2015,agriculture,Agriculture,12617788.987269456
AGO,AGO,2015,buildings,Buildings,7715647.954636279
AGO,AGO,2015,fluorinated-gases,Fluorinated Gases,326506.90380799986
AGO,AGO,2015,fossil-fuel-operations,Fossil Fuel Operations,52277887.27896363
AGO,AGO,2015,manufacturing,Manufacturing,8239103.693178541
AGO,AGO,2015,mineral-extraction,Mineral Extraction,523.0
AGO,AGO,2015,power,Power,6656938.807053724
AGO,AGO,2015,transportation,Transportation,18254598.2551396
AGO,AGO,2015,waste,Waste,3344195.2477463605
AGO,AGO,2016,agriculture,Agriculture,12749724.081857204
AGO,AGO,2016,buildings,Buildings,7413567.4256720925
AGO,AGO,2016,fluorinated-gases,Fluorinated Gases,371445.385554
AGO,AGO,2016,fossil-fuel-operations,Fossil Fuel Operations,52400942.98102589
AGO,AGO,2016,manufacturing,Manufacturing,7375075.505274221
AGO,AGO,2016,mineral-extraction,Mineral Extraction,552.0
AGO,AGO,2016,power,Power,6812237.727156173
AGO,AGO,2016,transportation,Transportation,18201157.72572681
AGO,AGO,2016,waste,Waste,3435259.476946255
AGO,AGO,2017,agriculture,Agriculture,12523389.585553445
AGO,AGO,2017,buildings,Buildings,7635812.105842759
AGO,AGO,2017,fluorinated-gases,Fluorinated Gases,415804.0144779997
AGO,AGO,2017,fossil-fuel-operations,Fossil Fuel Operations,54859494.37069504
AGO,AGO,2017,manufacturing,Manufacturing,5092778.079009623
AGO,AGO,2017,mineral-extraction,Mineral Extraction,579.0
AGO,AGO,2017,power,Power,4589873.4231411535
AGO,AGO,2017,transportation,Transportation,15991855.681640074
AGO,AGO,2017,waste,Waste,3527266.489945925
AGO,AGO,2018,agriculture,Agriculture,12463568.775833402
AGO,AGO,2018,buildings,Buildings,7561206.354040194
AGO,AGO,2018,fluorinated-gases,Fluorinated Gases,470112.8891879997
AGO,AGO,2018,fossil-fuel-operations,Fossil Fuel Operations,51040338.53942053
AGO,AGO,2018,manufacturing,Manufacturing,5805476.173663992
AGO,AGO,2018,mineral-extraction,Mineral Extraction,596.0
AGO,AGO,2018,power,Power,3974582.286369087
AGO,AGO,2018,transportation,Transportation,16650871.73501872
AGO,AGO,2018,waste,Waste,3632178.908782349
AGO,AGO,2019,agriculture,Agriculture,12407954.859554855
AGO,AGO,2019,buildings,Buildings,8264524.395321801
AGO,AGO,2019,fluorinated-gases,Fluorinated Gases,517981.55461999984
AGO,AGO,2019,fossil-fuel-operations,Fossil Fuel Operations,48218690.86488199
AGO,AGO,2019,manufacturing,Manufacturing,5626721.964053407
AGO,AGO,2019,mineral-extraction,Mineral Extraction,613.0
AGO,AGO,2019,power,Power,4470106.010851339
AGO,AGO,2019,transportation,Transportation,18763705.161462765
AGO,AGO,2019,waste,Waste,3755614.598214372
AGO,AGO,2020,agriculture,Agriculture,12932996.473593522
AGO,AGO,2020,buildings,Buildings,7346100.2075555315
AGO,AGO,2020,fluorinated-gases,Fluorinated Gases,566826.9406859997
AGO,AGO,2020,fossil-fuel-operations,Fossil Fuel Operations,45984729.76923835
AGO,AGO,2020,manufacturing,Manufacturing,4960493.524042267
AGO,AGO,2020,mineral-extraction,Mineral Extraction,640.0
AGO,AGO,2020,power,Power,4281227.674819865
AGO,AGO,2020,transportation,Transportation,10076600.335513178
AGO,AGO,2020,waste,Waste,3886577.0969616594
AGO,AGO,2021,agriculture,Agriculture,12967202.526702566
AGO,AGO,2021,buildings,Buildings,8181204.065897468
AGO,AGO,2021,fluorinated-gases,Fluorinated Gases,617167.9136439997
AGO,AGO,2021,fossil-fuel-operations,Fossil Fuel Operations,40314924.096357256
AGO,AGO,2021,manufacturing,Manufacturing,4308135.048178444
AGO,AGO,2021,mineral-extraction,Mineral Extraction,663.0
AGO,AGO,2021,power,Power,4332407.255433993
AGO,AGO,2021,transportation,Transportation,17672032.56745877
AGO,AGO,2021,waste,Waste,4026939.087952374
AGO,AGO,2022,agriculture,Agriculture,13092872.870495304
AGO,AGO,2022,buildings,Buildings,9126924.937087549
AGO,AGO,2022,fluorinated-gases,Fluorinated Gases,666186.2600239996
