iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
CMR,CMR,0.2933554647250739,0.061230518722573,0.0724705296290338,0.1528523639228967,0.0483337248631444,9.036343651497464e-06,0.0328439496243706,0.239830315071188,0.0990740970980678,60422668.8423386,5421317.829010248,9.856699388523223,2,-0.4262113048375036,-0.8808600042207719
COD,COD,0.0942717929555647,0.1144190427180222,0.046071041783645,0.0501720329095574,0.0271657299492269,0.1796069070364418,0.0070165955724741,0.2619247398459553,0.2193521172291123,67859028.27829756,19905686.6322016,41.510530755310114,4,-3.1458167713066207,-1.415284806531718
COG,COG,0.1144698957098446,0.0186287792825923,0.0136400235984512,0.5789962256631761,0.0201760656767481,0.0013514140382532,0.0784875647484569,0.1465287098941244,0.027721321388353,35188327.928956024,6579040.829371374,22.996171860105136,3,0.8765174764752234,-1.689611369163695
COL,COL,0.3067701629379681,0.0519181721926606,0.0424615768402632,0.2188816737125594,0.0738590870090424,0.003552548731299,0.0904408466546245,0.1191346265744388,0.0929813053471438,255137547.74988332,21563164.101771176,9.231818902819764,2,0.3634656845559684,-1.553299100227261
CPV,CPV,0.032808336291545,0.0759811185089128,0.0,0.0,0.0382929376682675,0.0132472626536656,0.1625394919094612,0.633712389383475,0.0434184635846728,1863486.7509498096,675371.4035768302,56.84392555572418,1,-2.5272198923188305,1.167633547840193
CRI,CRI,0.4163104724206224,0.0321638023945536,0.0317981361783266,0.0,0.0667762392832104,1.947688866660449e-06,0.0242334483533315,0.3200540025472775,0.1086619511338109,21050590.26623819,2475836.794055734,13.32904255102791,2,-1.6420676461185104,-0.5829749841995169
CUB,CUB,0.1942472007401447,0.1013979582873637,0.0176982176315747,0.0234308200141369,0.1575306223977124,0.0011304523323486,0.2292662154538417,0.1679120821548672,0.1073864309880099,45983589.845006734,-14938194.6946444,-24.52028417670829,0,0.8890796265534671,1.3574870523551148
CUW,CUW,0.0,0.0340605333826674,0.0,0.0,0.1741231323130937,0.0,0.3790179635509901,0.4078493561671046,0.0049490145861441,2818494.379505273,-1324681.5938996263,-31.972612372797453,0,0.6888582931802991,3.0189209767556218
CYM,CYM,0.0,0.0293420562682886,0.0,0.0,0.0101701253775288,0.0,0.5291970272960338,0.4067102663664116,0.0245805246917368,1086844.0762135729,49629.3751805356,4.784870011108222,1,-1.117678004275242,2.0571517772631647
CYP,CYP,0.0253679476419831,0.0347346986900721,0.044184663069909,0.0004926284839707,0.1027778795204408,0.0063126734832065,0.2887596162523116,0.33021469510831,0.1671551977497959,11600326.677495142,3153282.871556986,37.33001679641191,1,-1.45366722478737,0.5898273887441129
CZE,CZE,0.0576927246465746,0.1131771164111183,0.0451447996978417,0.0683907319838211,0.1689993246685054,0.0013128981601644,0.3411405824440485,0.150265941609116,0.0538758803788096,99796129.06745017,-34838882.80909242,-25.876540079365785,0,2.1395074216294576,1.625035063267106
DEU,DEU,0.1106217034245025,0.171577064449426,0.0134915183494132,0.0536313659534813,0.1862496914327021,0.0005310799678495,0.2478344864501994,0.1949647202265511,0.0210983697458747,756559138.9733564,-270017906.5705893,-26.30274149832725,0,2.6038183172413927,1.3589257709961038
DJI,DJI,0.2765407758215716,0.0388076173863617,0.0,0.0,0.1192561406135479,0.0079783136592281,0.0383688840729709,0.3565350770720321,0.1625131913742873,3442403.099133187,316152.159238304,10.1128209256591,2,-2.2087835387256005,0.3624348804275178
DNK,DNK,0.278043156362365,0.0752130085095579,0.0053368146040207,0.0783449136959486,0.0656551217415318,0.0041368236448896,0.0941401003858845,0.3377400358841331,0.0613900251716685,56728505.14591755,-5021147.1027404815,-8.131458105255327,0,-0.0152627114681791,0.7880394819871964
DOM,DOM,0.1951038370372661,0.0437670586761891,0.0462866579056985,0.0105582734371934,0.1070909195626145,0.0112204794471619,0.2829521307963867,0.2080931526465994,0.0949274904908901,52230744.93026552,13572649.804832635,35.10946351803892,2,-0.4966145742151151,-0.4918138783898815
DZA,DZA,0.0408002436617522,0.1069049657701249,0.0113406430843106,0.4072874820334909,0.0900496159261185,0.0074649381825727,0.1377355317807186,0.1380503936709285,0.0603661858899825,327124075.2804716,25452052.227405906,8.436994577693655,3,1.464534513214904,-1.05756757973896
ECU,ECU,0.1617605710262805,0.1078339476482375,0.0126261464552538,0.2625607430364732,0.0866541191178242,0.0021762332061549,0.0833665976470992,0.2246302198523971,0.0583914220102794,88274087.28838374,-5121433.072814733,-5.483596057935185,0,1.1512841765081432,0.4089003168849275
EGY,EGY,0.0393500410399674,0.0505679706011648,0.0545653205326671,0.1248054796774425,0.2082371742250501,2.399503180498367e-06,0.2893883395373915,0.1820058298979637,0.0510774449851719,385496467.5678741,9724766.614540458,2.587945443967362,3,1.772461407399453,-0.1267671882558131
