iso3_country,emissions_2015,emissions_2025,change_2015_2025,percent_change_2015_2025
MAR,94871353.84554973,120129795.09817375,25258441.25262402,26.623886166676492
MCO,145220.11968933523,148809.13638407606,3589.016694740829,2.4714321282882135
MDA,15016895.123456597,16525973.774289448,1509078.6508328505,10.049205501046943
MDG,43873300.70666335,41989653.92019776,-1883646.7864655852,-4.293378332894617
MDV,1851935.7993992644,2786304.426540737,934368.6271414727,50.45361871856279
MEX,823760231.4801141,805612945.2265966,-18147286.25351751,-2.202981591003837
MHL,552987.1276540314,366613.5890845777,-186373.5385694537,-33.70305188840773
MKD,11418374.755622275,10778747.855615979,-639626.9000062961,-5.601733291258033
MLI,49692520.204197876,74654624.20610838,24962104.0019105,50.23312140204508
MLT,3727121.168990572,4453500.713423552,726379.54443298,19.489024142182846
MMR,119279593.70907176,120106407.4990626,826813.7899908423,0.6931728758294382
MNE,4030502.967810816,3663622.515858805,-366880.4519520113,-9.102597241139954
MNG,82447023.4746045,138467703.01024234,56020679.53563784,67.94748576083337
MNP,668710.5962653608,626063.621995462,-42646.97426989884,-6.377493419137547
MOZ,29472063.74791593,47245415.448247895,17773351.700331964,60.30575887848634
MRT,17245044.97809174,23575519.94940885,6330474.971317112,36.70895019038457
MSR,46813.1983197627,30202.251510580085,-16610.946809182613,-35.48346920396192
MTQ,3170455.5334754367,3425294.432024255,254838.8985488182,8.037926911703604
MUS,7147325.3318770025,8965184.679373134,1817859.3474961314,25.434120640745096
MWI,15190047.596137214,22278833.581610076,7088785.985472862,46.66730594889986
MYS,394901188.95198,436127757.5299812,41226568.5780012,10.439717511970912
MYT,598371.7300157308,671754.9319894444,73383.20197371359,12.263814998710648
NAM,17275554.186118003,18993250.853529494,1717696.6674114913,9.942932359251138
NCL,5058992.116973495,6166824.88357416,1107832.7666006647,21.89829003456557
NER,45315041.347324185,68221580.30297545,22906538.95565126,50.549526767680796
NFK,11435.471304313493,14665.374613949729,3229.9033096362364,28.244601588199586
NGA,434567178.27914906,440745645.6404249,6178467.361275852,1.4217519569108013
NIC,20065540.63744183,22340625.773135167,2275085.135693338,11.33826980693499
NIU,15366.153256199139,22307.766888925333,6941.613632726194,45.17469998501903
NLD,242938668.90705124,205362867.80071986,-37575801.10633138,-15.467196422611481
NOR,114864029.54243164,115127816.77148116,263787.2290495187,0.22965172830896877
NPL,37355857.84753468,48177734.46339617,10821876.61586149,28.969691072361993
NRU,52696.20584447652,69530.88944306529,16834.683598588766,31.946671166940067
NZL,89969006.79222462,86206676.806294,-3762329.9859306216,-4.1818067355343675
OMN,151271973.3783949,183930420.85161367,32658447.47321877,21.589225514713316
PAK,451600596.2727506,616235371.0363815,164634774.76363087,36.45583644539684
PAN,23835142.30029062,29377920.774383597,5542778.474092975,23.25464813367358
PCN,661.4620479849141,10048.409995169803,9386.947947184888,1419.1211688987144
PER,112119843.2502166,130337765.2527122,18217922.0024956,16.248615298042175
PHL,170549382.46157867,258024809.5229494,87475427.06137073,51.290380415817204
PLW,669348.4798852048,853442.9460789618,184094.46619375702,27.503530929857305
PNG,42544982.121985905,45585471.72332593,3040489.6013400257,7.146529272529172
POL,429019760.9715031,390644528.6159805,-38375232.35552257,-8.944863581253914
PRI,33931419.36164906,33066997.296381205,-864422.0652678534,-2.5475564580857624
PRK,113333128.08015303,118943754.08883716,5610626.0086841285,4.95056132635473
PRT,95060330.74204856,85877896.74207184,-9182433.999976724,-9.659585579282028
PRY,39370981.352998726,41730065.19016761,2359083.8371688873,5.991935573099972
PSE,4942904.34670943,6342750.43973492,1399846.0930254897,28.320315240520273
PYF,1840307.9594693875,2677713.836958961,837405.8774895736,45.503573093876156
QAT,230154794.24430227,245616081.3416025,15461287.097300231,6.717777549699247
REU,5843284.91932856,6838946.2835234115,995661.3641948514,17.039411528631412
ROU,145237016.18902093,118430913.78993717,-26806102.399083763,-18.45679779333703
RUS,2741004485.99425,2976502796.200675,235498310.2064252,8.59167912383049
RWA,12282485.413201705,14273320.25550584,1990834.8423041347,16.2087295472324
SAU,963416311.181947,1059226710.4121131,95810399.23016608,9.94485957089756
SDN,142800471.08544996,144723981.62670717,1923510.5412572026,1.3469917337360873
SEN,32768380.819534436,45280156.53803429,12511775.718499854,38.1824655524057
SGP,98588817.82468683,114827446.72568525,16238628.900998428,16.471065643442824
SGS,24629.634355242382,82452.38676544,57822.752410197616,234.769024891716
SHN,42138.07059123635,46402.70471623629,4264.634124999939,10.120620296950365
SJM,209096.7408882782,404071.86873057927,194975.12784230107,93.24637343174928
SLB,694415.1144602057,815123.178042912,120708.06358270638,17.38269531712846
SLE,10384756.175907133,9201052.741666216,-1183703.4342409167,-11.398471126237276
SLV,13011382.37239487,14827042.138402907,1815659.766008038,13.954395574909606
SMR,76841.09576581385,67728.32626441357,-9112.769501400282,-11.85923939602967
SOM,36444244.60822421,40773960.876084425,4329716.267860211,11.880384171505487
SPM,87099.0871139471,139588.19371744047,52489.106603493376,60.263670197627526
SRB,63072391.05978092,64093351.55071187,1020960.4909309521,1.6187122031940588
SSD,49835384.77545553,55106090.63411892,5270705.858663395,10.576231893085081
STP,240206.60611262065,285244.8484745159,45038.242361895245,18.74979339276752
SUR,6311553.836179616,5972223.007137812,-339330.8290418042,-5.37634373166024
SVK,45906221.19926333,42551438.850452825,-3354782.3488105014,-7.3079035066914555
SVN,17015835.912413374,15668245.454454077,-1347590.4579592962,-7.919625370718364
SWE,84217088.26548249,83188427.69424158,-1028660.571240902,-1.2214392499514999
SWZ,3308196.9281394193,3822466.0699421726,514269.1418027533,15.545300143059688
SXM,901936.3049469484,848759.2091735039,-53177.09577344451,-5.895881503137006
SYC,1051268.9148586604,1597092.3798797452,545823.4650210848,51.92044179242843
SYR,67294741.04880548,76187854.83967601,8893113.790870532,13.215169049273563
TCA,660007.8093743332,775252.9834669774,115245.17409264413,17.461183406586194
TCD,86180390.45713827,136388547.7607913,50208157.30365303,58.259375523047794
TGO,8372077.942367755,11564740.39205059,3192662.4496828355,38.13464795312095
THA,429306867.9587247,503472966.47877693,74166098.52005225,17.275777318145042
TJK,21310224.63390506,27517806.398735978,6207581.764830917,29.12959328900978
TKL,1991.8753137025672,2809.7978524238583,817.9225387212912,41.062938683692416
TKM,241476925.3552858,240154822.75350735,-1322102.6017784476,-0.547506806223093
TLS,7668575.34297791,2127802.667026138,-5540772.675951772,-72.25296001069404
TON,324233.941867574,446005.68102998333,121771.73916240933,37.55675252905639
TTO,60042057.73316061,43293476.38163929,-16748581.35152132,-27.894749087307268
TUN,54192999.320855364,55643719.114427194,1450719.7935718298,2.676950550351883
TUR,511617807.98580766,631248606.4122332,119630798.42642558,23.38284488129939
TUV,138696.39226336582,62214.63773235553,-76481.75453101029,-55.143290523218305
TWN,323421489.13019115,303751213.1997698,-19670275.930421352,-6.0819322746062845
TZA,99841419.70365804,154332171.75984132,54490752.05618328,54.577300901688616
UGA,58001478.314247034,70674435.19008276,12672956.875835724,21.8493687474218
UKR,394294927.9855748,271188887.1731654,-123106040.8124094,-31.22181698896041
UMI,3236.71018538615,2880.6903197891424,-356.01986559700754,-10.999436007723169
UNK,0.0,200773923.1581777,200773923.1581777,inf
URY,37193439.947770335,40003358.312283576,2809918.3645132408,7.554876258983109
USA,6962718117.74729,6958966262.668473,-3751855.078816414,-0.053884919874227
UZB,198226431.200171,248700565.11513558,50474133.91496459,25.462867695981124
VAT,14873.11917330193,11474.654123941418,-3398.4650493605113,-22.84971302765424
VCT,303620.3139380896,531774.8359421241,228154.52200403454,75.14468285891995
VEN,600730223.4961599,269416605.94775367,-331313617.54840624,-55.15181434025587
VGB,415442.3034230741,641877.6789569561,226435.37553388206,54.50465050577361
VIR,1120059.7477949923,1307128.327739959,187068.5799449666,16.701660809902286
VNM,352064855.3172327,535848085.82696307,183783230.50973034,52.201527001077686
VUT,496301.19684500096,678362.7263743326,182061.5295293316,36.68367730859834
WLF,38186.944616360626,40816.80995662029,2629.865340259661,6.886817907743619
WSM,486489.7024651731,610447.3463114202,123957.64384624711,25.480013907410715
XKX,10258673.569043998,10380441.200091382,121767.63104738481,1.186972469957754
YEM,43709103.41326533,47908130.492249094,4199027.078983761,9.60675637585692
ZAF,627603845.5290575,612058864.3129096,-15544981.2161479,-2.4768779424931333
ZMB,42038931.12541908,54419551.22869298,12380620.103273898,29.45036843667009
ZNC,0.0,3000944.6344348593,3000944.6344348593,inf
ZWE,41151678.18352006,44047309.658610456,2895631.4750903994,7.036484544268252
