iso3_country,year,sector,gas,emissions_quantity_units,temporal_granularity,sector_emissions_quantity
AFG,2018,waste,co2e_100yr,tonnes,annual,4349527.868675864
AFG,2019,agriculture,co2e_100yr,tonnes,annual,18907332.888059966
AFG,2019,buildings,co2e_100yr,tonnes,annual,1215283.1788544073
AFG,2019,fluorinated-gases,co2e_100yr,tonnes,annual,748712.7712569996
AFG,2019,forestry-and-land-use,co2e_100yr,tonnes,annual,-3441697.219149352
AFG,2019,fossil-fuel-operations,co2e_100yr,tonnes,annual,1411360.5532152995
AFG,2019,manufacturing,co2e_100yr,tonnes,annual,4237197.020829281
AFG,2019,mineral-extraction,co2e_100yr,tonnes,annual,79209.27879026467
AFG,2019,power,co2e_100yr,tonnes,annual,3290345.434876751
AFG,2019,transportation,co2e_100yr,tonnes,annual,9320701.15297794
AFG,2019,waste,co2e_100yr,tonnes,annual,4576010.856887605
AFG,2020,agriculture,co2e_100yr,tonnes,annual,18879001.191407576
AFG,2020,buildings,co2e_100yr,tonnes,annual,1206058.6254284317
AFG,2020,fluorinated-gases,co2e_100yr,tonnes,annual,820607.0781049997
AFG,2020,forestry-and-land-use,co2e_100yr,tonnes,annual,6446605.551897218
AFG,2020,fossil-fuel-operations,co2e_100yr,tonnes,annual,1389066.4193788667
AFG,2020,manufacturing,co2e_100yr,tonnes,annual,4140823.713017442
AFG,2020,mineral-extraction,co2e_100yr,tonnes,annual,78045.14970087139
AFG,2020,power,co2e_100yr,tonnes,annual,3109432.306187387
AFG,2020,transportation,co2e_100yr,tonnes,annual,9871338.100639706
AFG,2020,waste,co2e_100yr,tonnes,annual,4835743.978388335
AFG,2021,agriculture,co2e_100yr,tonnes,annual,17605242.93851773
AFG,2021,buildings,co2e_100yr,tonnes,annual,1235290.4762501162
AFG,2021,fluorinated-gases,co2e_100yr,tonnes,annual,894702.703109
AFG,2021,forestry-and-land-use,co2e_100yr,tonnes,annual,19428128.880460408
AFG,2021,fossil-fuel-operations,co2e_100yr,tonnes,annual,1196402.6889053453
AFG,2021,manufacturing,co2e_100yr,tonnes,annual,4478116.222582758
AFG,2021,mineral-extraction,co2e_100yr,tonnes,annual,75715.16867503886
AFG,2021,power,co2e_100yr,tonnes,annual,3040935.380476485
AFG,2021,transportation,co2e_100yr,tonnes,annual,10510194.55665371
AFG,2021,waste,co2e_100yr,tonnes,annual,5016241.462600228
AFG,2022,agriculture,co2e_100yr,tonnes,annual,17833145.90380948
AFG,2022,buildings,co2e_100yr,tonnes,annual,1265772.690196574
AFG,2022,fluorinated-gases,co2e_100yr,tonnes,annual,966851.5760309994
AFG,2022,forestry-and-land-use,co2e_100yr,tonnes,annual,2776657.40810486
AFG,2022,fossil-fuel-operations,co2e_100yr,tonnes,annual,1193884.6652857023
AFG,2022,manufacturing,co2e_100yr,tonnes,annual,4352775.332981885
AFG,2022,mineral-extraction,co2e_100yr,tonnes,annual,73385.20162038886
AFG,2022,power,co2e_100yr,tonnes,annual,2754551.6052539656
AFG,2022,transportation,co2e_100yr,tonnes,annual,10753756.945704319
AFG,2022,waste,co2e_100yr,tonnes,annual,5186724.413523247
AFG,2023,agriculture,co2e_100yr,tonnes,annual,18108530.677743305
AFG,2023,buildings,co2e_100yr,tonnes,annual,1288901.7168680255
AFG,2023,fluorinated-gases,co2e_100yr,tonnes,annual,1039564.5054349994
AFG,2023,forestry-and-land-use,co2e_100yr,tonnes,annual,18335986.128973242
AFG,2023,fossil-fuel-operations,co2e_100yr,tonnes,annual,1321195.2555143824
AFG,2023,manufacturing,co2e_100yr,tonnes,annual,4651479.555334027
AFG,2023,mineral-extraction,co2e_100yr,tonnes,annual,77311.29697264459
AFG,2023,power,co2e_100yr,tonnes,annual,2831268.810021998
AFG,2023,transportation,co2e_100yr,tonnes,annual,11181925.15144787
AFG,2023,waste,co2e_100yr,tonnes,annual,5298135.187907191
AFG,2024,agriculture,co2e_100yr,tonnes,annual,18075082.187823303
AFG,2024,buildings,co2e_100yr,tonnes,annual,1314129.7672218026
AFG,2024,fluorinated-gases,co2e_100yr,tonnes,annual,1111995.4041889997
AFG,2024,forestry-and-land-use,co2e_100yr,tonnes,annual,12824511.7681173
AFG,2024,fossil-fuel-operations,co2e_100yr,tonnes,annual,1486958.3167002536
