iso3_country,emissions
SYC,1597092.3798797452
SYR,76187854.83967601
TCA,775252.9834669774
TCD,136388547.7607913
TGO,11564740.39205059
THA,503472966.4787769
TJK,27517806.398735978
TKL,2809.7978524238583
TKM,240154822.75350732
TLS,2127802.667026138
TON,446005.6810299833
TTO,43293476.38163929
TUN,55643719.1144272
TUR,631248606.4122332
TUV,62214.63773235553
TWN,303751213.1997698
TZA,154332171.75984132
UGA,70674435.19008276
UKR,271188887.1731654
UMI,2880.6903197891424
UNK,200773923.1581777
URY,40003358.312283576
USA,6958966262.668473
UZB,248700565.1151356
VAT,11474.654123941418
VCT,531774.8359421241
VEN,269416605.94775367
VGB,641877.6789569561
VIR,1307128.327739959
VNM,535848085.8269631
VUT,678362.7263743326
WLF,40816.80995662029
WSM,610447.3463114202
XKX,10380441.200091382
YEM,47908130.49224909
ZAF,612058864.3129096
ZMB,54419551.22869298
ZNC,3000944.6344348597
ZWE,44047309.658610456
