iso3_country,year,emissions
THA,2025,503472966.47877693
TJK,2025,27517806.398735978
TKL,2025,2809.7978524238583
TKM,2025,240154822.75350735
TLS,2025,2127802.667026138
TON,2025,446005.68102998333
TTO,2025,43293476.38163929
TUN,2025,55643719.114427194
TUR,2025,631248606.4122332
TUV,2025,62214.63773235553
TWN,2025,303751213.1997698
TZA,2025,154332171.75984132
UGA,2025,70674435.19008276
UKR,2025,271188887.1731654
UMI,2025,2880.6903197891424
UNK,2025,200773923.1581777
URY,2025,40003358.312283576
USA,2025,6958966262.668473
UZB,2025,248700565.11513558
VAT,2025,11474.654123941418
VCT,2025,531774.8359421241
VEN,2025,269416605.94775367
VGB,2025,641877.6789569561
VIR,2025,1307128.327739959
VNM,2025,535848085.82696307
VUT,2025,678362.7263743326
WLF,2025,40816.80995662029
WSM,2025,610447.3463114202
XKX,2025,10380441.200091382
YEM,2025,47908130.492249094
ZAF,2025,612058864.3129096
ZMB,2025,54419551.22869298
ZNC,2025,3000944.6344348593
ZWE,2025,44047309.658610456
